   -1.52746 1.00188   -1.52743 1.00188   -1.52740 1.00188   -1.52737 1.00188
   -1.52735 1.00189   -1.52732 1.00189   -1.52729 1.00189   -1.52726 1.00189
   -1.52723 1.00190   -1.52720 1.00190   -1.52717 1.00190   -1.52714 1.00190
   -1.52711 1.00191   -1.52708 1.00191   -1.52705 1.00191   -1.52702 1.00192
   -1.52699 1.00192   -1.52696 1.00192   -1.52693 1.00192   -1.52690 1.00193
   -1.52687 1.00193   -1.52684 1.00193   -1.52681 1.00193   -1.52678 1.00194
   -1.52675 1.00194   -1.52672 1.00194   -1.52669 1.00194   -1.52666 1.00195
   -1.52663 1.00195   -1.52660 1.00195   -1.52657 1.00196   -1.52653 1.00196
   -1.52650 1.00196   -1.52647 1.00196   -1.52644 1.00197   -1.52641 1.00197
   -1.52638 1.00197   -1.52635 1.00197   -1.52632 1.00198   -1.52629 1.00198
   -1.52626 1.00198   -1.52623 1.00199   -1.52620 1.00199   -1.52616 1.00199
   -1.52613 1.00199   -1.52610 1.00200   -1.52607 1.00200   -1.52604 1.00200
   -1.52601 1.00200   -1.52598 1.00201   -1.52595 1.00201   -1.52591 1.00201
   -1.52588 1.00202   -1.52585 1.00202   -1.52582 1.00202   -1.52579 1.00202
   -1.52576 1.00203   -1.52572 1.00203   -1.52569 1.00203   -1.52566 1.00204
   -1.52563 1.00204   -1.52560 1.00204   -1.52557 1.00204   -1.52553 1.00205
   -1.52550 1.00205   -1.52547 1.00205   -1.52544 1.00206   -1.52541 1.00206
   -1.52537 1.00206   -1.52534 1.00206   -1.52531 1.00207   -1.52528 1.00207
   -1.52524 1.00207   -1.52521 1.00208   -1.52518 1.00208   -1.52515 1.00208
   -1.52511 1.00209   -1.52508 1.00209   -1.52505 1.00209   -1.52502 1.00209
   -1.52498 1.00210   -1.52495 1.00210   -1.52492 1.00210   -1.52488 1.00211
   -1.52485 1.00211   -1.52482 1.00211   -1.52479 1.00212   -1.52475 1.00212
   -1.52472 1.00212   -1.52469 1.00212   -1.52465 1.00213   -1.52462 1.00213
   -1.52459 1.00213   -1.52455 1.00214   -1.52452 1.00214   -1.52449 1.00214
   -1.52445 1.00215   -1.52442 1.00215   -1.52439 1.00215   -1.52435 1.00216
   -1.52432 1.00216   -1.52428 1.00216   -1.52425 1.00216   -1.52422 1.00217
   -1.52418 1.00217   -1.52415 1.00217   -1.52411 1.00218   -1.52408 1.00218
   -1.52405 1.00218   -1.52401 1.00219   -1.52398 1.00219   -1.52394 1.00219
   -1.52391 1.00220   -1.52388 1.00220   -1.52384 1.00220   -1.52381 1.00221
   -1.52377 1.00221   -1.52374 1.00221   -1.52370 1.00222   -1.52367 1.00222
   -1.52363 1.00222   -1.52360 1.00223   -1.52356 1.00223   -1.52353 1.00223
